"snapshot_id","account_id","currency","balance","equity","available","margin","funds","open_positions","is_demo","hedging_mode","captured_at_utc","account_name"
1,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:14:38.678176+03",""
2,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:14:53.358045+03",""
3,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:15:09.217861+03",""
4,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:15:24.17616+03",""
5,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:15:39.549768+03",""
6,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:15:54.049825+03",""
7,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:16:09.104632+03",""
8,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:16:23.316827+03",""
9,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:16:26.65794+03",""
10,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:16:41.50903+03",""
11,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:16:56.918098+03",""
12,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:17:11.698611+03",""
13,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:17:26.561447+03",""
14,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:17:41.473591+03",""
15,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:17:56.829479+03",""
16,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:18:12.893775+03",""
17,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:32:28.807701+03","Account"
18,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:32:43.57644+03","Account"
19,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:32:55.665509+03","Account"
20,"307978579944232132","USD",35.91,35.91,35.91,0,35.91,0,False,True,"2026-04-20 00:33:10.472018+03","Account"
